query_id,scene_id,object_a,object_b,available_points_a,available_points_b,n_points_requested,seed,sampled_distance_m,full_point_distance_m,stored_gt_distance_m,abs_error_vs_full_m,abs_error_full_vs_stored_gt_m
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,2000,0,0.44991652736532656,0.4495985585007109,0.4495985805988312,0.00031796886461565865,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,2000,1,0.44991652736532656,0.4495985585007109,0.4495985805988312,0.00031796886461565865,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,2000,2,0.44991652736532656,0.4495985585007109,0.4495985805988312,0.00031796886461565865,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,2000,3,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,2000,4,0.44984946437265766,0.4495985585007109,0.4495985805988312,0.0002509058719467605,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,5000,0,0.44984946437265766,0.4495985585007109,0.4495985805988312,0.0002509058719467605,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,5000,1,0.44984946437265766,0.4495985585007109,0.4495985805988312,0.0002509058719467605,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,5000,2,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,5000,3,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,5000,4,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,10000,0,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,10000,1,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,10000,2,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,10000,3,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,10000,4,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,20000,0,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,20000,1,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,20000,2,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,20000,3,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,scene0008_00__table_032,5174,1941,20000,4,0.4495985585007109,0.4495985585007109,0.4495985805988312,0.0,2.2098120278091216e-08
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,scene0012_01__table_008,4721,2131,512,0,0.5031964837368532,0.4960574505071725,0.4960574507713318,0.007139033229680736,2.641593055408009e-10
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,scene0012_01__table_008,4721,2131,512,1,0.5111979739206449,0.4960574505071725,0.4960574507713318,0.01514052341347244,2.641593055408009e-10
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,scene0012_01__table_008,4721,2131,512,2,0.5003213480929567,0.4960574505071725,0.4960574507713318,0.004263897585784215,2.641593055408009e-10
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,scene0012_01__table_008,4721,2131,512,3,0.5099540642389983,0.4960574505071725,0.4960574507713318,0.013896613731825769,2.641593055408009e-10
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,scene0012_01__table_008,4721,2131,512,4,0.517887029829597,0.4960574505071725,0.4960574507713318,0.02182957932242452,2.641593055408009e-10
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,scene0012_01__table_008,4721,2131,1000,0,0.5003683925827564,0.4960574505071725,0.4960574507713318,0.004310942075583968,2.641593055408009e-10
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,scene0012_01__table_008,4721,2131,1000,1,0.5038480505229272,0.4960574505071725,0.4960574507713318,0.007790600015754767,2.641593055408009e-10
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,scene0012_01__table_008,4721,2131,1000,2,0.4988672993273871,0.4960574505071725,0.4960574507713318,0.002809848820214622,2.641593055408009e-10
